Generation,BestFitness,MedianFitness,AvgFitness
286,0.002390,0.605583,12340004366.512066
287,0.002390,0.569719,10960008896.475424
288,0.002390,0.619292,12920006119.761253
289,0.002390,0.825515,23560014676.048534
290,0.002390,0.609783,14580008456.699314
291,0.002390,0.563672,17500008901.697723
292,0.002390,0.631089,15860007924.216795
293,0.002390,0.576221,14960010466.298307
294,0.002390,0.604144,15060005490.232370
295,0.002390,0.567127,15180003427.542454
296,0.002390,0.563672,16560009387.191219
297,0.002390,0.830178,17340010146.991543
298,0.002390,0.596608,18020005972.894535
299,0.002390,0.607137,15020005175.753441
300,0.002390,0.692943,16280009187.228672
301,0.002390,0.601912,14780004294.436060
302,0.002390,0.584940,22080008755.045692
303,0.002390,0.609683,10760003809.616873
304,0.002390,0.563672,13620007969.443316
305,0.002390,0.585454,12880008596.810236
306,0.002390,0.659844,14720006237.538733
307,0.002390,0.724544,13980007336.703451
308,0.002390,0.690674,16500008722.073488
309,0.002390,0.689569,16180009971.907627
310,0.002390,0.573686,14240006858.707949
311,0.002390,0.762074,10180004989.302395
312,0.002390,0.655587,19580009394.890285
313,0.002390,0.689569,17600008904.310524
314,0.002390,0.660859,9800007484.887758
315,0.002390,0.782057,16580007187.738325
316,0.002390,0.920377,12560009971.021833
317,0.002390,0.716198,14140007622.460766
318,0.002390,0.938615,15440008923.130726
319,0.002390,0.896919,14960005162.163322
320,0.002390,0.771305,13840004990.212109
321,0.002390,0.596477,15580006399.338736
322,0.002390,0.636925,17740010390.110901
323,0.002390,0.633378,13300008525.238209
324,0.002390,0.599876,14620005046.741907
325,0.002390,0.596608,18900007054.664642
326,0.002390,0.599876,14360008231.292896
327,0.002390,0.814272,18700011918.302746
328,0.002390,0.690122,15420009317.566689
329,0.002390,0.680155,21040008172.924728
330,0.002390,0.818739,19580009977.117283
331,0.002390,0.609281,15240005460.768511
332,0.002390,0.667940,17640004400.263023
333,0.002390,0.689569,14120009343.213764
334,0.002390,0.563334,14640005334.968054
335,0.002390,0.563180,11220004361.244776
336,0.002390,0.601793,19920007570.035294
337,0.002390,0.596252,11680007462.367317
338,0.002390,0.563672,12280007304.057487
339,0.002390,0.609985,17340006377.856808
340,0.002390,0.815204,12880004065.044283
341,0.002390,0.563672,18920007148.978123
342,0.002390,0.588373,13940006632.621342
343,0.002390,0.723719,12960005870.968386
344,0.002390,0.630933,9200003327.669458
345,0.002390,0.553185,16580008256.301563
346,0.002390,0.632453,7320004457.232276
347,0.002390,0.739396,16080008487.695097
348,0.002390,0.690674,17160011582.916380
349,0.002390,0.766929,24420014186.621113
350,0.002390,0.633514,16780005270.328318
351,0.002390,0.563672,13500008201.389658
352,0.002390,0.919145,18220008103.348808
353,0.002390,0.648283,16480008281.777716
354,0.002390,0.664935,12560009227.199781
355,0.002390,0.596608,11240006103.686640
356,0.002390,0.563672,11220011850.578661
357,0.002390,0.563672,12160006209.660501
358,0.002390,0.596608,17480009635.774769
359,0.002390,0.701205,11640005880.642908
360,0.002390,0.563425,12480004723.393641
361,0.002390,0.806760,9440006001.893347
362,0.002390,0.563672,9120005159.679764
363,0.002390,0.728014,9540008278.066412
364,0.002390,0.725185,11260003119.198509
365,0.002390,0.563672,17280005855.576000
366,0.002390,0.565176,13600006168.453693
367,0.002390,0.563672,12300006147.090439
368,0.002390,0.563672,22320007259.022312
369,0.002390,0.663449,15500006380.665125
370,0.002390,0.563672,14240006142.668388
371,0.002390,0.595625,10660005420.809320
372,0.002390,0.745258,9600003252.115013
373,0.002390,0.594088,9360002281.015650
374,0.002390,0.609783,20060008028.998775
375,0.002390,0.543599,6960004371.102815
376,0.002390,0.491114,7840008101.961512
377,0.002390,0.490000,11260008967.125582
378,0.002390,0.490112,12000011419.382082
379,0.002390,0.497074,9800008446.353870
380,0.002390,0.497074,10720011813.558584
381,0.002390,0.490000,9760009500.970709
382,0.002390,0.490004,10840008881.895664
383,0.002390,0.491092,7760007459.171621
384,0.002390,0.499736,8580006332.567945
385,0.002390,0.499553,11420010609.076309
386,0.002390,0.499736,9140008267.861446
387,0.002390,0.498616,10020010461.748085
